Provider CCN,CCN Facility Type,CCN category,Number of Beds,Total Costs,Cost of Charity Care,Total Income,Net Income,Net Patient Revenue,Total Days Title XVIII,Total Discharges Title XVIII,Fiscal Year Begin Date,Fiscal Year End Date
340047,STH,C,815.0,924155664.0,27494762.0,-42048369.0,-42048369.0,1055319726.0,20353.0,3451.0,07-01-2021,12/31/2021
340127,STH,C,42.0,56143290.0,1113668.0,9815087.0,9815087.0,78875566.0,2150.0,488.0,10-01-2020,09/30/2021
351312,CAH,A,12.0,13738185.0,59992.0,1268385.0,1268385.0,12868538.0,1100.0,33.0,01-01-2021,12/31/2021
360035,STH,C,573.0,730009987.0,14827004.0,-90432379.0,-93812500.0,741079071.0,25051.0,4786.0,07-01-2021,06/30/2022
360037,STH,C,112.0,111574874.0,967191.0,-14487758.0,-14575800.0,123663703.0,1649.0,372.0,01-01-2021,12/31/2021
360041,STH,C,204.0,184510175.0,7060048.0,1944453.0,1944453.0,182172405.0,11238.0,2542.0,01-01-2021,12/31/2021
360048,STH,C,212.0,298690757.0,1506819.0,12869024.0,12623918.0,267426993.0,8657.0,1557.0,07-01-2021,06/30/2022
360055,STH,C,197.0,118995521.0,1054557.0,-6995569.0,-7001154.0,137890472.0,7538.0,1653.0,01-01-2021,12/31/2021
360059,STH,C,552.0,977207415.0,45853406.0,121972218.0,121972218.0,1198414630.0,18040.0,2953.0,01-01-2021,12/31/2021
360071,STH,C,34.0,59326280.0,923413.0,2232639.0,2232639.0,59628622.0,1138.0,348.0,01-01-2021,12/31/2021
360076,STH,C,246.0,214695307.0,1373475.0,61690211.0,60735958.0,248365606.0,8078.0,1996.0,01-01-2021,12/31/2021
360078,STH,C,187.0,148221893.0,4538159.0,11932625.0,11801325.0,162723456.0,5966.0,1348.0,01-01-2021,12/31/2021
360079,STH,C,383.0,508381351.0,9146952.0,155709518.0,155709518.0,689541989.0,22102.0,4952.0,01-01-2021,12/31/2021
360152,STH,C,168.0,214003832.0,19515930.0,41104810.0,41104810.0,303486406.0,8030.0,1560.0,07-01-2021,06/30/2022
360359,STH,C,150.0,214269921.0,6822026.0,36193468.0,36193468.0,246476557.0,11145.0,2731.0,01-01-2021,12/31/2021
420091,STH,C,187.0,227907311.0,11517496.0,17940318.0,17940318.0,241339949.0,15285.0,2858.0,07-01-2021,06/30/2022
31315,CAH,A,21.0,17830499.0,88269.0,5232652.0,5246994.0,21069694.0,1855.0,129.0,01-01-2021,12/31/2021
